region,air_quality_PM2.5,air_quality_PM10,total_accidents,total_crimes,N_PM2_5,N_PM10,PollutionIndex,air_safety_score,road_score,crime_score,risk_score
A & N ISLANDS,3.4,6.0,218.0,1592.0,0.11333333333333333,0.12,0.11599999999999999,88.4,99.93465031925417,99.96641302735713,95.33031900398339
ANDHRA PRADESH,19.71470588235294,22.944117647058825,14128.0,410537.0,0.657156862745098,0.4588823529411765,0.5778470588235294,42.21529411764706,95.76486105698612,91.33875942972189,73.01720379307122
ARUNACHAL PRADESH,2.5,2.8499999999999996,109.0,5215.0,0.08333333333333333,0.056999999999999995,0.0728,92.72,99.96732515962708,99.88997734778108,97.04519075222245
ASSAM,31.047826086956523,34.69130434782608,4965.0,164868.0,1.0,0.6938260869565217,0.8775304347826087,12.246956521739127,98.51164603255494,96.52172298637977,63.40879331437606
BIHAR,43.37931034482759,51.45862068965517,6484.0,314069.0,1.0,1.0,1.0,0.0,98.0562966515783,93.37397807099805,57.4290824167729
CHANDIGARH,140.2,159.9,369.0,8008.0,1.0,1.0,1.0,0.0,99.88938517341647,99.8310524642437,59.91613129129804
CHHATTISGARH,21.532258064516128,25.396774193548385,7362.0,114088.0,0.7177419354838709,0.5079354838709677,0.6338193548387097,36.61806451612903,97.79309931352859,97.59304614643287,73.26306944444005
D & N HAVELI,9.9,17.6,87.0,756.0,0.33,0.35200000000000004,0.3388,66.12,99.97392008153722,99.98405040746357,86.43539114670024
DAMAN & DIU,12.15,23.3,39.0,534.0,0.405,0.466,0.4294,57.06,99.9883090020684,99.98873401797029,82.8171129060116
GOA,4.9,6.099999999999999,3810.0,7920.0,0.16333333333333336,0.12199999999999997,0.1468,85.32,98.85787943283671,99.83290903057068,93.73523653902221
GUJARAT,12.221739130434784,23.756521739130434,18402.0,287556.0,0.40739130434782617,0.4751304347826087,0.4344869565217392,56.55130434782608,94.48364759135465,93.93333196903838,79.14561560724835
HARYANA,46.63,135.23,7972.0,134578.0,1.0,1.0,1.0,0.0,97.61024011511137,97.1607615550684,58.431300501053926
HIMACHAL PRADESH,24.68,28.639999999999997,818.0,28062.0,0.8226666666666667,0.5728,0.72272,27.727999999999998,99.7547888126143,99.40796631513568,70.84002653832499
JHARKHAND,32.705555555555556,41.19444444444444,3308.0,89154.0,1.0,0.8238888888888889,0.9295555555555556,7.0444444444444425,99.00836356005875,98.11908733731046,61.956013046988545
KARNATAKA,1.9240000000000002,3.3560000000000003,32056.0,279011.0,0.06413333333333333,0.06712000000000001,0.06532800000000001,93.46719999999999,90.39059923858629,94.11360877885826,92.73814240523336
KERALA,6.7,11.25,33448.0,348471.0,0.22333333333333333,0.225,0.22399999999999998,77.60000000000001,89.97332054318174,92.64818722121177,85.82645232931806
LAKSHADWEEP,4.5,11.7,0.0,174.0,0.15,0.23399999999999999,0.18359999999999999,81.64,100.0,99.99632906203526,92.65489871861058
MADHYA PRADESH,13.660416666666668,18.933333333333334,41665.0,447788.0,0.4553472222222223,0.37866666666666665,0.424675,57.5325,87.5101172097485,90.55286224509925,76.43189383645432
MAHARASHTRA,10.306060606060607,14.293939393939393,49385.0,442553.0,0.3435353535353535,0.28587878787878784,0.32047272727272724,67.95272727272727,85.19589915764861,90.66330684421067,79.9388527096487
MANIPUR,2.7444444444444445,3.811111111111111,229.0,6915.0,0.09148148148148148,0.07622222222222222,0.08537777777777777,91.46222222222222,99.9313528582991,99.85411186191872,96.52052830495424
MIZORAM,7.014285714285714,7.3,13.0,5165.0,0.2338095238095238,0.146,0.19868571428571427,80.13142857142857,99.99610300068947,99.89103221501232,92.01871199328197
NAGALAND,5.733333333333333,6.783333333333334,249.0,2450.0,0.19111111111111112,0.13566666666666669,0.16893333333333335,83.10666666666665,99.92535747474444,99.94831150566897,93.20476736079068
PUDUCHERRY,10.1,13.7,1037.0,8810.0,0.33666666666666667,0.27399999999999997,0.3116,68.84,99.68913936269072,99.81413239385452,87.38698152696357
PUNJAB,83.28421052631579,119.83157894736843,5728.0,73315.0,1.0,1.0,1.0,0.0,98.28292214994454,98.45324817882447,59.0208510986307
RAJASTHAN,18.33243243243243,59.58378378378378,24296.0,367172.0,0.6110810810810811,1.0,0.7666486486486486,23.335135135135143,92.7168080577955,92.25364577938126,64.8251902052071
TAMIL NADU,5.478571428571429,8.407142857142857,49992.0,404053.0,0.18261904761904763,0.16814285714285712,0.17682857142857142,82.31714285714285,85.0139392667646,91.47555461226983,85.87370530656747
TRIPURA,18.15,19.85,606.0,12474.0,0.605,0.397,0.5218,47.81999999999999,99.81833987829371,99.73683172314884,78.99455148043276
UTTAR PRADESH,44.96612903225807,70.08064516129032,20800.0,424538.0,1.0,1.0,1.0,0.0,93.76480110315057,91.04337550762848,55.44245298323372
UTTARAKHAND,40.13636363636363,46.13636363636363,850.0,19145.0,1.0,0.9227272727272726,0.969090909090909,3.0909090909090997,99.74519619892682,99.59609133715604,61.038749897188495
WEST BENGAL,104.9913043478261,125.28260869565217,5165.0,330962.0,1.0,1.0,1.0,0.0,98.4516921970083,93.01758062824939,57.440781847577306
